age,year,gender,country,healthy,unhealthy,CI_low_healthy,CI_up_healthy,CI_low_unhealthy,CI_up_unhealthy,type
75-80,2015,woman,Austria,0.555487225,0.444512775,0.495111253,0.615863198,0.384136802,0.504888747,arthritis
80+,2015,woman,Austria,0.439380775,0.560619225,0.370114154,0.508647395,0.491352605,0.629885846,arthritis
50-55,2015,woman,Germany,0.711637943,0.288362057,0.655531782,0.767744105,0.232255895,0.344468218,arthritis
55-60,2015,woman,Germany,0.603047283,0.396952717,0.543545842,0.662548724,0.337451276,0.456454158,arthritis
60-65,2015,woman,Germany,0.566878832,0.433121168,0.518034703,0.615722961,0.384277039,0.481965297,arthritis
65-70,2015,woman,Germany,0.568902016,0.431097984,0.513792074,0.624011957,0.375988043,0.486207926,arthritis
70-75,2015,woman,Germany,0.518626459,0.481373541,0.454506957,0.582745962,0.417254038,0.545493043,arthritis
75-80,2015,woman,Germany,0.462052707,0.537947293,0.394664346,0.529441069,0.470558931,0.605335654,arthritis
80+,2015,woman,Germany,0.369236175,0.630763825,0.300120485,0.438351866,0.561648134,0.699879515,arthritis
50-55,2015,woman,Sweden,0.82296968,0.17703032,0.707196795,0.938742565,0.061257435,0.292803205,arthritis
55-60,2015,woman,Sweden,0.771363601,0.228636399,0.722899322,0.81982788,0.18017212,0.277100678,arthritis
60-65,2015,woman,Sweden,0.700143928,0.299856072,0.646569307,0.75371855,0.24628145,0.353430693,arthritis
65-70,2015,woman,Sweden,0.59555954,0.40444046,0.553917557,0.637201523,0.362798477,0.446082443,arthritis
70-75,2015,woman,Sweden,0.582583726,0.417416274,0.533786301,0.63138115,0.36861885,0.466213699,arthritis
75-80,2015,woman,Sweden,0.51827077,0.48172923,0.458171511,0.578370028,0.421629972,0.541828489,arthritis
80+,2015,woman,Sweden,0.522144341,0.477855659,0.463492677,0.580796006,0.419203994,0.536507323,arthritis
50-55,2015,woman,Spain,0.748751847,0.251248153,0.605227508,0.892276186,0.107723814,0.394772492,arthritis
55-60,2015,woman,Spain,0.6581317,0.3418683,0.549047498,0.767215903,0.232784097,0.450952502,arthritis
60-65,2015,woman,Spain,0.485298019,0.514701981,0.418061005,0.552535033,0.447464967,0.581938995,arthritis
65-70,2015,woman,Spain,0.355511044,0.644488956,0.292119088,0.418903,0.581097,0.707880912,arthritis
70-75,2015,woman,Spain,0.318470863,0.681529137,0.25324325,0.383698476,0.616301524,0.74675675,arthritis
75-80,2015,woman,Spain,0.272584459,0.727415541,0.204234638,0.340934279,0.659065721,0.795765362,arthritis
80+,2015,woman,Spain,0.140741817,0.859258183,0.103873947,0.177609686,0.822390314,0.896126053,arthritis
50-55,2015,woman,Italy,0.86159121,0.13840879,0.81298771,0.91019471,0.08980529,0.18701229,arthritis
55-60,2015,woman,Italy,0.759098245,0.240901755,0.711565045,0.806631444,0.193368556,0.288434955,arthritis
60-65,2015,woman,Italy,0.633769669,0.366230331,0.584971328,0.682568009,0.317431991,0.415028672,arthritis
65-70,2015,woman,Italy,0.488901254,0.511098746,0.440704778,0.53709773,0.46290227,0.559295222,arthritis
70-75,2015,woman,Italy,0.402310301,0.597689699,0.349029581,0.455591021,0.544408979,0.650970419,arthritis
75-80,2015,woman,Italy,0.35291412,0.64708588,0.293275602,0.412552639,0.587447361,0.706724398,arthritis
80+,2015,woman,Italy,0.261355416,0.738644584,0.205381039,0.317329792,0.682670208,0.794618961,arthritis
50-55,2015,woman,France,0.724363666,0.275636334,0.66182998,0.786897352,0.213102648,0.33817002,arthritis
55-60,2015,woman,France,0.577027318,0.422972682,0.509112592,0.644942044,0.355057956,0.490887408,arthritis
60-65,2015,woman,France,0.425955832,0.574044168,0.374168067,0.477743597,0.522256403,0.625831933,arthritis
65-70,2015,woman,France,0.346705893,0.653294107,0.294486372,0.398925414,0.601074586,0.705513628,arthritis
70-75,2015,woman,France,0.333897883,0.666102117,0.275805832,0.391989933,0.608010067,0.724194168,arthritis
75-80,2015,woman,France,0.275276,0.724724,0.194851319,0.355700682,0.644299318,0.805148681,arthritis
80+,2015,woman,France,0.176225004,0.823774996,0.134721566,0.217728442,0.782271558,0.865278434,arthritis
50-55,2015,woman,Denmark,0.762489464,0.237510536,0.710202396,0.814776532,0.185223468,0.289797604,arthritis
55-60,2015,woman,Denmark,0.618202258,0.381797742,0.533125397,0.703279119,0.296720881,0.466874603,arthritis
60-65,2015,woman,Denmark,0.593478399,0.406521601,0.567012592,0.619944206,0.380055794,0.432987408,arthritis
65-70,2015,woman,Denmark,0.496987947,0.503012053,0.443593781,0.550382113,0.449617887,0.556406219,arthritis
70-75,2015,woman,Denmark,0.493073073,0.506926927,0.474163164,0.511982983,0.488017017,0.525836836,arthritis
75-80,2015,woman,Denmark,0.45437146,0.54562854,0.408934902,0.499808017,0.500191983,0.591065098,arthritis
80+,2015,woman,Denmark,0.394873513,0.605126487,0.328337967,0.46140906,0.53859094,0.671662033,arthritis
50-55,2015,woman,Greece,0.910008177,0.089991823,0.878688116,0.941328238,0.058671762,0.121311884,arthritis
55-60,2015,woman,Greece,0.829377939,0.170622061,0.788816259,0.869939619,0.130060381,0.211183741,arthritis
60-65,2015,woman,Greece,0.763493223,0.236506777,0.717549962,0.809436484,0.190563516,0.282450038,arthritis
65-70,2015,woman,Greece,0.6471387,0.3528613,0.603534908,0.690742493,0.309257507,0.396465092,arthritis
70-75,2015,woman,Greece,0.608963814,0.391036186,0.555500264,0.662427364,0.337572636,0.444499736,arthritis
75-80,2015,woman,Greece,0.495107357,0.504892643,0.432893049,0.557321665,0.442678335,0.567106951,arthritis
80+,2015,woman,Greece,0.446653175,0.553346825,0.391512841,0.50179351,0.49820649,0.608487159,arthritis
50-55,2015,woman,Switzerland,0.807299804,0.192700196,0.734009157,0.88059045,0.11940955,0.265990843,arthritis
55-60,2015,woman,Switzerland,0.700057816,0.299942184,0.653092749,0.747022882,0.252977118,0.346907251,arthritis
60-65,2015,woman,Switzerland,0.666181033,0.333818967,0.608657819,0.723704247,0.276295753,0.391342181,arthritis
65-70,2015,woman,Switzerland,0.496575986,0.503424014,0.435393674,0.557758298,0.442241702,0.564606326,arthritis
70-75,2015,woman,Switzerland,0.522915956,0.477084044,0.438503631,0.607328281,0.392671719,0.561496369,arthritis
75-80,2015,woman,Switzerland,0.508655382,0.491344618,0.414875019,0.602435744,0.397564256,0.585124981,arthritis
80+,2015,woman,Switzerland,0.370331614,0.629668386,0.310344443,0.430318785,0.569681215,0.689655557,arthritis
50-55,2015,woman,Belgium,0.667353443,0.332646557,0.589232099,0.745474786,0.254525214,0.410767901,arthritis
55-60,2015,woman,Belgium,0.586517477,0.413482523,0.519477714,0.65355724,0.34644276,0.480522286,arthritis
60-65,2015,woman,Belgium,0.491568346,0.508431654,0.448255968,0.534880724,0.465119276,0.551744032,arthritis
65-70,2015,woman,Belgium,0.46002955,0.53997045,0.41610211,0.50395699,0.49604301,0.58389789,arthritis
70-75,2015,woman,Belgium,0.416871374,0.583128626,0.362070198,0.47167255,0.52832745,0.637929802,arthritis
75-80,2015,woman,Belgium,0.293469705,0.706530295,0.237028412,0.349910998,0.650089002,0.762971588,arthritis
80+,2015,woman,Belgium,0.283740085,0.716259915,0.238031971,0.329448199,0.670551801,0.761968029,arthritis
50-55,2015,woman,Israel,0.973682469,0.026317531,0.921006755,1.026358182,-0.026358182,0.078993245,arthritis
55-60,2015,woman,Israel,0.904812482,0.095187518,0.840933159,0.968691805,0.031308195,0.159066841,arthritis
60-65,2015,woman,Israel,0.84420386,0.15579614,0.789305904,0.899101815,0.100898185,0.210694096,arthritis
65-70,2015,woman,Israel,0.716441811,0.283558189,0.63188658,0.800997041,0.199002959,0.36811342,arthritis
70-75,2015,woman,Israel,0.675311445,0.324688555,0.560083586,0.790539305,0.209460695,0.439916414,arthritis
75-80,2015,woman,Israel,0.592098769,0.407901231,0.494997555,0.689199984,0.310800016,0.505002445,arthritis
80+,2015,woman,Israel,0.58284246,0.41715754,0.498719842,0.666965077,0.333034923,0.501280158,arthritis
50-55,2015,woman,Czech Republic,0.722828273,0.277171727,0.575524709,0.870131838,0.129868162,0.424475291,arthritis
55-60,2015,woman,Czech Republic,0.599284716,0.400715284,0.53691244,0.661656991,0.338343009,0.46308756,arthritis
60-65,2015,woman,Czech Republic,0.590631387,0.409368613,0.545335268,0.635927505,0.364072495,0.454664732,arthritis
65-70,2015,woman,Czech Republic,0.495779146,0.504220854,0.453479874,0.538078418,0.461921582,0.546520126,arthritis
70-75,2015,woman,Czech Republic,0.408981088,0.591018912,0.36145773,0.456504446,0.543495554,0.63854227,arthritis
75-80,2015,woman,Czech Republic,0.367943141,0.632056859,0.311023559,0.424862722,0.575137278,0.688976441,arthritis
80+,2015,woman,Czech Republic,0.345340609,0.654659391,0.2657329,0.424948317,0.575051683,0.7342671,arthritis
50-55,2015,woman,Poland,0.796105473,0.203894527,0.711722439,0.880488507,0.119511493,0.288277561,arthritis
55-60,2015,woman,Poland,0.666041346,0.333958654,0.585401133,0.746681559,0.253318441,0.414598867,arthritis
60-65,2015,woman,Poland,0.498508264,0.501491736,0.444593791,0.552422736,0.447577264,0.555406209,arthritis
65-70,2015,woman,Poland,0.437800501,0.562199499,0.341838857,0.533762144,0.466237856,0.658161143,arthritis
70-75,2015,woman,Poland,0.264236086,0.735763914,0.242823789,0.285648384,0.714351616,0.757176211,arthritis
75-80,2015,woman,Poland,0.187383863,0.812616137,0.13985004,0.234917685,0.765082315,0.86014996,arthritis
80+,2015,woman,Poland,0.230792882,0.769207118,0.181429657,0.280156108,0.719843892,0.818570343,arthritis
50-55,2015,woman,Luxembourg,0.778403957,0.221596043,0.740631562,0.816176352,0.183823648,0.259368438,arthritis
55-60,2015,woman,Luxembourg,0.553416684,0.446583316,0.468245634,0.638587735,0.361412265,0.531754366,arthritis
60-65,2015,woman,Luxembourg,0.508340232,0.491659768,0.451960015,0.56472045,0.43527955,0.548039985,arthritis
65-70,2015,woman,Luxembourg,0.494495687,0.505504313,0.407916766,0.581074609,0.418925391,0.592083234,arthritis
70-75,2015,woman,Luxembourg,0.398225871,0.601774129,0.297025439,0.499426304,0.500573696,0.702974561,arthritis
75-80,2015,woman,Luxembourg,0.551998105,0.448001895,0.34161398,0.762382231,0.237617769,0.65838602,arthritis
80+,2015,woman,Luxembourg,0.313106898,0.686893102,0.272172347,0.354041449,0.645958551,0.727827653,arthritis
50-55,2015,woman,Portugal,0.840116677,0.159883323,0.72226778,0.957965574,0.042034426,0.27773222,arthritis
55-60,2015,woman,Portugal,0.560494921,0.439505079,0.410878735,0.710111107,0.289888893,0.589121265,arthritis
60-65,2015,woman,Portugal,0.58859365,0.41140635,0.440309331,0.736877968,0.263122032,0.559690669,arthritis
65-70,2015,woman,Portugal,0.494574495,0.505425505,0.373987832,0.615161158,0.384838842,0.626012168,arthritis
70-75,2015,woman,Portugal,0.451056417,0.548943583,0.271227016,0.630885818,0.369114182,0.728772984,arthritis
75-80,2015,woman,Portugal,0.315322305,0.684677695,0.160497162,0.470147449,0.529852551,0.839502838,arthritis
80+,2015,woman,Portugal,0.240222108,0.759777892,0.107711918,0.372732299,0.627267701,0.892288082,arthritis
50-55,2015,woman,Slovenia,0.867264052,0.132735948,0.816040557,0.918487546,0.081512454,0.183959443,arthritis
55-60,2015,woman,Slovenia,0.78830332,0.21169668,0.748865193,0.827741448,0.172258552,0.251134807,arthritis
60-65,2015,woman,Slovenia,0.783131248,0.216868752,0.739314214,0.826948282,0.173051718,0.260685786,arthritis
65-70,2015,woman,Slovenia,0.701741715,0.298258285,0.649299092,0.754184338,0.245815662,0.350700908,arthritis
70-75,2015,woman,Slovenia,0.65439749,0.34560251,0.590622717,0.718172263,0.281827737,0.409377283,arthritis
75-80,2015,woman,Slovenia,0.658705459,0.341294541,0.59973346,0.717677457,0.282322543,0.40026654,arthritis
80+,2015,woman,Slovenia,0.581877904,0.418122096,0.521387724,0.642368084,0.357631916,0.478612276,arthritis
50-55,2015,woman,Estonia,0.834183123,0.165816877,0.797385154,0.870981093,0.129018907,0.202614846,arthritis
55-60,2015,woman,Estonia,0.649975558,0.350024442,0.630319464,0.669631653,0.330368347,0.369680536,arthritis
60-65,2015,woman,Estonia,0.526592165,0.473407835,0.483155811,0.570028518,0.429971482,0.516844189,arthritis
65-70,2015,woman,Estonia,0.519968727,0.480031273,0.474248072,0.565689382,0.434310618,0.525751928,arthritis
70-75,2015,woman,Estonia,0.495328152,0.504671848,0.479998492,0.510657811,0.489342189,0.520001508,arthritis
75-80,2015,woman,Estonia,0.416590152,0.583409848,0.40733478,0.425845524,0.574154476,0.59266522,arthritis
80+,2015,woman,Estonia,0.362065086,0.637934914,0.310150224,0.413979948,0.586020052,0.689849776,arthritis
50-55,2015,woman,Croatia,0.83156664,0.16843336,0.784726207,0.878407074,0.121592926,0.215273793,arthritis
55-60,2015,woman,Croatia,0.781350695,0.218649305,0.720141451,0.842559938,0.157440062,0.279858549,arthritis
60-65,2015,woman,Croatia,0.707898636,0.292101364,0.637169728,0.778627543,0.221372457,0.362830272,arthritis
65-70,2015,woman,Croatia,0.69545734,0.30454266,0.629880861,0.76103382,0.23896618,0.370119139,arthritis
70-75,2015,woman,Croatia,0.613689532,0.386310468,0.539499463,0.687879601,0.312120399,0.460500537,arthritis
75-80,2015,woman,Croatia,0.529249918,0.470750082,0.427167743,0.631332092,0.368667908,0.572832257,arthritis
80+,2015,woman,Croatia,0.625025053,0.374974947,0.532312086,0.717738021,0.282261979,0.467687914,arthritis
50-55,2015,man,Austria,0.936130738,0.063869262,0.83932982,1.032931656,-0.032931656,0.16067018,arthritis
55-60,2015,man,Austria,0.883713438,0.116286562,0.832852222,0.934574655,0.065425345,0.167147778,arthritis
60-65,2015,man,Austria,0.868328203,0.131671797,0.82440146,0.912254946,0.087745054,0.17559854,arthritis
65-70,2015,man,Austria,0.78940801,0.21059199,0.735586121,0.843229899,0.156770101,0.264413879,arthritis
70-75,2015,man,Austria,0.758707112,0.241292888,0.692631821,0.824782404,0.175217596,0.307368179,arthritis
75-80,2015,man,Austria,0.743500888,0.256499112,0.665614882,0.821386893,0.178613107,0.334385118,arthritis
80+,2015,man,Austria,0.704278538,0.295721462,0.630930124,0.777626953,0.222373047,0.369069876,arthritis
50-55,2015,man,Germany,0.778723171,0.221276829,0.720036774,0.837409568,0.162590432,0.279963226,arthritis
55-60,2015,man,Germany,0.73168529,0.26831471,0.673176004,0.790194576,0.209805424,0.326823996,arthritis
60-65,2015,man,Germany,0.737624147,0.262375853,0.689220232,0.786028063,0.213971937,0.310779768,arthritis
65-70,2015,man,Germany,0.702524026,0.297475974,0.653764603,0.751283448,0.248716552,0.346235397,arthritis
70-75,2015,man,Germany,0.6656958,0.3343042,0.612961217,0.718430382,0.281569618,0.387038783,arthritis
75-80,2015,man,Germany,0.608234194,0.391765806,0.546010655,0.670457732,0.329542268,0.453989345,arthritis
80+,2015,man,Germany,0.538293607,0.461706393,0.467291825,0.609295389,0.390704611,0.532708175,arthritis
50-55,2015,man,Sweden,0.915364258,0.084635742,0.857183101,0.973545414,0.026454586,0.142816899,arthritis
55-60,2015,man,Sweden,0.888080991,0.111919009,0.84283976,0.933322221,0.066677779,0.15716024,arthritis
60-65,2015,man,Sweden,0.825229872,0.174770128,0.782939067,0.867520678,0.132479322,0.217060933,arthritis
65-70,2015,man,Sweden,0.781232078,0.218767922,0.737582596,0.82488156,0.17511844,0.262417404,arthritis
70-75,2015,man,Sweden,0.775443324,0.224556676,0.726652191,0.824234456,0.175765544,0.273347809,arthritis
75-80,2015,man,Sweden,0.75306666,0.24693334,0.700939946,0.805193374,0.194806626,0.299060054,arthritis
80+,2015,man,Sweden,0.767614012,0.232385988,0.715186518,0.820041505,0.179958495,0.284813482,arthritis
50-55,2015,man,Spain,0.966712135,0.033287865,0.92444249,1.00898178,-0.00898178,0.07555751,arthritis
55-60,2015,man,Spain,0.80528067,0.19471933,0.715994475,0.894566866,0.105433134,0.284005525,arthritis
60-65,2015,man,Spain,0.751864503,0.248135497,0.690327419,0.813401586,0.186598414,0.309672581,arthritis
65-70,2015,man,Spain,0.707233787,0.292766213,0.641995901,0.772471674,0.227528326,0.358004099,arthritis
70-75,2015,man,Spain,0.610682445,0.389317555,0.540103702,0.681261188,0.318738812,0.459896298,arthritis
75-80,2015,man,Spain,0.541274168,0.458725832,0.469002924,0.613545412,0.386454588,0.530997076,arthritis
80+,2015,man,Spain,0.424272952,0.575727048,0.360842811,0.487703093,0.512296907,0.639157189,arthritis
50-55,2015,man,Italy,0.930108413,0.069891587,0.891661661,0.968555165,0.031444835,0.108338339,arthritis
55-60,2015,man,Italy,0.863273144,0.136726856,0.817232247,0.90931404,0.09068596,0.182767753,arthritis
60-65,2015,man,Italy,0.829261035,0.170738965,0.788394723,0.870127348,0.129872652,0.211605277,arthritis
65-70,2015,man,Italy,0.754848486,0.245151514,0.710885961,0.798811011,0.201188989,0.289114039,arthritis
70-75,2015,man,Italy,0.589344965,0.410655035,0.533931296,0.644758634,0.355241366,0.466068704,arthritis
75-80,2015,man,Italy,0.583385774,0.416614226,0.522901259,0.643870288,0.356129712,0.477098741,arthritis
80+,2015,man,Italy,0.547183775,0.452816225,0.485496134,0.608871415,0.391128585,0.514503866,arthritis
50-55,2015,man,France,0.821075183,0.178924817,0.763581009,0.878569356,0.121430644,0.236418991,arthritis
55-60,2015,man,France,0.705832984,0.294167016,0.640763545,0.770902423,0.229097577,0.359236455,arthritis
60-65,2015,man,France,0.59810562,0.40189438,0.529643714,0.666567527,0.333432473,0.470356286,arthritis
65-70,2015,man,France,0.615845861,0.384154139,0.555459872,0.676231849,0.323768151,0.444540128,arthritis
70-75,2015,man,France,0.514793863,0.485206137,0.450886311,0.578701415,0.421298585,0.549113689,arthritis
75-80,2015,man,France,0.469195634,0.530804366,0.384754357,0.553636911,0.446363089,0.615245643,arthritis
80+,2015,man,France,0.308058408,0.691941592,0.249211229,0.366905588,0.633094412,0.750788771,arthritis
50-55,2015,man,Denmark,0.855046497,0.144953503,0.823885523,0.88620747,0.11379253,0.176114477,arthritis
55-60,2015,man,Denmark,0.735027514,0.264972486,0.688274315,0.781780713,0.218219287,0.311725685,arthritis
60-65,2015,man,Denmark,0.665688457,0.334311543,0.625898349,0.705478565,0.294521435,0.374101651,arthritis
65-70,2015,man,Denmark,0.621399954,0.378600046,0.591906156,0.650893753,0.349106247,0.408093844,arthritis
70-75,2015,man,Denmark,0.629593238,0.370406762,0.603552119,0.655634358,0.344365642,0.396447881,arthritis
75-80,2015,man,Denmark,0.626126458,0.373873542,0.590550728,0.661702188,0.338297812,0.409449272,arthritis
80+,2015,man,Denmark,0.585635791,0.414364209,0.557424135,0.613847446,0.386152554,0.442575865,arthritis
50-55,2015,man,Greece,0.956023948,0.043976052,0.927187024,0.984860871,0.015139129,0.072812976,arthritis
55-60,2015,man,Greece,0.978484511,0.021515489,0.959710403,0.997258619,0.002741381,0.040289597,arthritis
60-65,2015,man,Greece,0.94132384,0.05867616,0.917983682,0.964663997,0.035336003,0.082016318,arthritis
65-70,2015,man,Greece,0.919961943,0.080038057,0.888664162,0.951259724,0.048740276,0.111335838,arthritis
70-75,2015,man,Greece,0.906714409,0.093285591,0.87307642,0.940352397,0.059647603,0.12692358,arthritis
75-80,2015,man,Greece,0.851957139,0.148042861,0.805989841,0.897924438,0.102075562,0.194010159,arthritis
80+,2015,man,Greece,0.797086874,0.202913126,0.743463352,0.850710396,0.149289604,0.256536648,arthritis
50-55,2015,man,Switzerland,0.852212398,0.147787602,0.730330966,0.97409383,0.02590617,0.269669034,arthritis
55-60,2015,man,Switzerland,0.821492301,0.178507699,0.755054661,0.887929942,0.112070058,0.244945339,arthritis
60-65,2015,man,Switzerland,0.77457115,0.22542885,0.712350492,0.836791808,0.163208192,0.287649508,arthritis
65-70,2015,man,Switzerland,0.718396786,0.281603214,0.658702574,0.778090998,0.221909002,0.341297426,arthritis
70-75,2015,man,Switzerland,0.674339194,0.325660806,0.600176328,0.74850206,0.25149794,0.399823672,arthritis
75-80,2015,man,Switzerland,0.700825282,0.299174718,0.641534966,0.760115597,0.239884403,0.358465034,arthritis
80+,2015,man,Switzerland,0.541609845,0.458390155,0.477916753,0.605302937,0.394697063,0.522083247,arthritis
50-55,2015,man,Belgium,0.738159709,0.261840291,0.663474201,0.812845217,0.187154783,0.336525799,arthritis
55-60,2015,man,Belgium,0.74776666,0.25223334,0.689082397,0.806450922,0.193549078,0.310917603,arthritis
60-65,2015,man,Belgium,0.663109416,0.336890584,0.61626533,0.709953503,0.290046497,0.38373467,arthritis
65-70,2015,man,Belgium,0.621218826,0.378781174,0.573420219,0.669017433,0.330982567,0.426579781,arthritis
70-75,2015,man,Belgium,0.574775281,0.425224719,0.515162767,0.634387794,0.365612206,0.484837233,arthritis
75-80,2015,man,Belgium,0.588937597,0.411062403,0.52366989,0.654205304,0.345794696,0.47633011,arthritis
80+,2015,man,Belgium,0.53189677,0.46810323,0.476153288,0.587640253,0.412359747,0.523846712,arthritis
50-55,2015,man,Israel,0.918915717,0.081084283,0.767922034,1.0699094,-0.0699094,0.232077966,arthritis
55-60,2015,man,Israel,0.996413133,0.003586867,0.98921296,1.003613307,-0.003613307,0.01078704,arthritis
60-65,2015,man,Israel,0.831850013,0.168149987,0.707584997,0.95611503,0.04388497,0.292415003,arthritis
65-70,2015,man,Israel,0.827973929,0.172026071,0.760787019,0.89516084,0.10483916,0.239212981,arthritis
70-75,2015,man,Israel,0.853085645,0.146914355,0.781250552,0.924920738,0.075079262,0.218749448,arthritis
75-80,2015,man,Israel,0.841479873,0.158520127,0.76719409,0.915765656,0.084234344,0.23280591,arthritis
80+,2015,man,Israel,0.728253538,0.271746462,0.643464266,0.81304281,0.18695719,0.356535734,arthritis
50-55,2015,man,Czech Republic,0.66242686,0.33757314,0.482250391,0.842603328,0.157396672,0.517749609,arthritis
55-60,2015,man,Czech Republic,0.599542221,0.400457779,0.512123263,0.686961179,0.313038821,0.487876737,arthritis
60-65,2015,man,Czech Republic,0.663150968,0.336849032,0.602951931,0.723350005,0.276649995,0.397048069,arthritis
65-70,2015,man,Czech Republic,0.637264001,0.362735999,0.58225469,0.692273311,0.307726689,0.41774531,arthritis
70-75,2015,man,Czech Republic,0.598234257,0.401765743,0.539765687,0.656702828,0.343297172,0.460234313,arthritis
75-80,2015,man,Czech Republic,0.504433777,0.495566223,0.413694467,0.595173088,0.404826912,0.586305533,arthritis
80+,2015,man,Czech Republic,0.507701839,0.492298161,0.409951675,0.605452002,0.394547998,0.590048325,arthritis
50-55,2015,man,Poland,0.886242089,0.113757911,0.813495036,0.958989141,0.041010859,0.186504964,arthritis
55-60,2015,man,Poland,0.679354256,0.320645744,0.575215615,0.783492898,0.216507102,0.424784385,arthritis
60-65,2015,man,Poland,0.608438392,0.391561608,0.531557827,0.685318956,0.314681044,0.468442173,arthritis
65-70,2015,man,Poland,0.622859753,0.377140247,0.537447138,0.708272369,0.291727631,0.462552862,arthritis
70-75,2015,man,Poland,0.445609495,0.554390505,0.352218772,0.539000217,0.460999783,0.647781228,arthritis
75-80,2015,man,Poland,0.382233795,0.617766205,0.270663043,0.493804546,0.506195454,0.729336957,arthritis
80+,2015,man,Poland,0.414002815,0.585997185,0.326810797,0.501194833,0.498805167,0.673189203,arthritis
50-55,2015,man,Luxembourg,0.939336939,0.060663061,0.86538757,1.013286308,-0.013286308,0.13461243,arthritis
55-60,2015,man,Luxembourg,0.724019444,0.275980556,0.653140316,0.794898572,0.205101428,0.346859684,arthritis
60-65,2015,man,Luxembourg,0.668016662,0.331983338,0.581813667,0.754219656,0.245780344,0.418186333,arthritis
65-70,2015,man,Luxembourg,0.636260416,0.363739584,0.581589209,0.690931624,0.309068376,0.418410791,arthritis
70-75,2015,man,Luxembourg,0.568783409,0.431216591,0.461264935,0.676301883,0.323698117,0.538735065,arthritis
75-80,2015,man,Luxembourg,0.464603018,0.535396982,0.292625148,0.636580887,0.363419113,0.707374852,arthritis
80+,2015,man,Luxembourg,0.413357213,0.586642787,0.268552325,0.558162101,0.441837899,0.731447675,arthritis
50-55,2015,man,Portugal,0.780757882,0.219242118,0.470233536,1.091282229,-0.091282229,0.529766464,arthritis
55-60,2015,man,Portugal,0.864468634,0.135531366,0.766038294,0.962898973,0.037101027,0.233961706,arthritis
60-65,2015,man,Portugal,0.901300708,0.098699292,0.838865118,0.963736299,0.036263701,0.161134882,arthritis
65-70,2015,man,Portugal,0.821879882,0.178120118,0.73910335,0.904656414,0.095343586,0.26089665,arthritis
70-75,2015,man,Portugal,0.732562749,0.267437251,0.572659262,0.892466235,0.107533765,0.427340738,arthritis
75-80,2015,man,Portugal,0.743933773,0.256066227,0.614926695,0.872940852,0.127059148,0.385073305,arthritis
80+,2015,man,Portugal,0.544170612,0.455829388,0.337481304,0.75085992,0.24914008,0.662518696,arthritis
50-55,2015,man,Slovenia,0.96931072,0.03068928,0.940712939,0.997908501,0.002091499,0.059287061,arthritis
55-60,2015,man,Slovenia,0.896648342,0.103351658,0.857785357,0.935511327,0.064488673,0.142214643,arthritis
60-65,2015,man,Slovenia,0.873720176,0.126279824,0.837108089,0.910332262,0.089667738,0.162891911,arthritis
65-70,2015,man,Slovenia,0.850807209,0.149192791,0.811678729,0.889935688,0.110064312,0.188321271,arthritis
70-75,2015,man,Slovenia,0.835195555,0.164804445,0.793566972,0.876824139,0.123175861,0.206433028,arthritis
75-80,2015,man,Slovenia,0.759177472,0.240822528,0.692502396,0.825852548,0.174147452,0.307497604,arthritis
80+,2015,man,Slovenia,0.763512323,0.236487677,0.699462774,0.827561872,0.172438128,0.300537226,arthritis
50-55,2015,man,Estonia,0.873713625,0.126286375,0.850030807,0.897396442,0.102603558,0.149969193,arthritis
55-60,2015,man,Estonia,0.72523824,0.27476176,0.661025625,0.789450854,0.210549146,0.338974375,arthritis
60-65,2015,man,Estonia,0.661628597,0.338371403,0.642414403,0.680842791,0.319157209,0.357585597,arthritis
65-70,2015,man,Estonia,0.624254003,0.375745997,0.586932301,0.661575705,0.338424295,0.413067699,arthritis
70-75,2015,man,Estonia,0.662739495,0.337260505,0.596356925,0.729122065,0.270877935,0.403643075,arthritis
75-80,2015,man,Estonia,0.629777516,0.370222484,0.618509861,0.641045171,0.358954829,0.381490139,arthritis
80+,2015,man,Estonia,0.533102336,0.466897664,0.482225713,0.583978959,0.416021041,0.517774287,arthritis
50-55,2015,man,Croatia,0.937389855,0.062610145,0.89572651,0.9790532,0.0209468,0.10427349,arthritis
55-60,2015,man,Croatia,0.883157067,0.116842933,0.826561101,0.939753033,0.060246967,0.173438899,arthritis
60-65,2015,man,Croatia,0.914713347,0.085286653,0.872528516,0.956898178,0.043101822,0.127471484,arthritis
65-70,2015,man,Croatia,0.868682282,0.131317718,0.82073857,0.916625993,0.083374007,0.17926143,arthritis
70-75,2015,man,Croatia,0.85115358,0.14884642,0.805095911,0.897211249,0.102788751,0.194904089,arthritis
75-80,2015,man,Croatia,0.877483964,0.122516036,0.819920626,0.935047301,0.064952699,0.180079374,arthritis
80+,2015,man,Croatia,0.817859885,0.182140115,0.729026081,0.90669369,0.09330631,0.270973919,arthritis
50-55,2015,woman,Austria,0.919748364,0.080251636,0.829310219,1.010186509,-0.010186509,0.170689781,cancer
55-60,2015,woman,Austria,0.976495846,0.023504154,0.959711425,0.993280267,0.006719733,0.040288575,cancer
60-65,2015,woman,Austria,0.885378312,0.114621688,0.845154974,0.92560165,0.07439835,0.154845026,cancer
65-70,2015,woman,Austria,0.924687682,0.075312318,0.8957223,0.953653063,0.046346937,0.1042777,cancer
70-75,2015,woman,Austria,0.831139453,0.168860547,0.793694611,0.868584295,0.131415705,0.206305389,cancer
