age,year,gender,country,healthy,unhealthy,CI_low_healthy,CI_up_healthy,CI_low_unhealthy,CI_up_unhealthy
55-60,2015,woman,Estonia,0.478464786,0.521535214,0.452621792,0.504307779,0.495692221,0.547378208
60-65,2015,woman,Estonia,0.34686934,0.65313066,0.293229887,0.400508793,0.599491207,0.706770113
65-70,2015,woman,Estonia,0.283326352,0.716673648,0.240780544,0.325872161,0.674127839,0.759219456
70-75,2015,woman,Estonia,0.216234398,0.783765602,0.190098035,0.24237076,0.75762924,0.809901965
75-80,2015,woman,Estonia,0.175362931,0.824637069,0.167742779,0.182983084,0.817016916,0.832257221
80+,2015,woman,Estonia,0.120523807,0.879476193,0.111282408,0.129765206,0.870234794,0.888717592
50-55,2015,woman,Croatia,0.717566324,0.282433676,0.66793374,0.767198908,0.232801092,0.33206626
55-60,2015,woman,Croatia,0.6062484,0.3937516,0.537508972,0.674987828,0.325012172,0.462491028
60-65,2015,woman,Croatia,0.550962071,0.449037929,0.482884191,0.619039951,0.380960049,0.517115809
65-70,2015,woman,Croatia,0.47668517,0.52331483,0.409811091,0.543559249,0.456440751,0.590188909
70-75,2015,woman,Croatia,0.409956776,0.590043224,0.345665818,0.474247734,0.525752266,0.654334182
75-80,2015,woman,Croatia,0.244743263,0.755256737,0.142153989,0.347332537,0.652667463,0.857846011
80+,2015,woman,Croatia,0.286654185,0.713345815,0.209822046,0.363486323,0.636513677,0.790177954
50-55,2015,man,Austria,0.753674605,0.246325395,0.571554265,0.935794944,0.064205056,0.428445735
55-60,2015,man,Austria,0.651756905,0.348243095,0.568148496,0.735365314,0.264634686,0.431851504
60-65,2015,man,Austria,0.525813886,0.474186114,0.452412103,0.59921567,0.40078433,0.547587897
65-70,2015,man,Austria,0.402824419,0.597175581,0.342454051,0.463194788,0.536805212,0.657545949
70-75,2015,man,Austria,0.32630205,0.67369795,0.262469074,0.390135026,0.609864974,0.737530926
75-80,2015,man,Austria,0.348830857,0.651169143,0.27479682,0.422864895,0.577135105,0.72520318
80+,2015,man,Austria,0.209384054,0.790615946,0.138520798,0.280247309,0.719752691,0.861479202
50-55,2015,man,Germany,0.571787254,0.428212746,0.501615123,0.641959384,0.358040616,0.498384877
55-60,2015,man,Germany,0.496921175,0.503078825,0.433290307,0.560552043,0.439447957,0.566709693
60-65,2015,man,Germany,0.44332718,0.55667282,0.384783377,0.501870983,0.498129017,0.615216623
65-70,2015,man,Germany,0.380362813,0.619637187,0.326495782,0.434229844,0.565770156,0.673504218
