age,year,gender,country,unhealthy,healthy,CI_low_unhealthy,CI_up_unhealthy,CI_low_healthy,CI_up_healthy
55-60,2015,woman,Belgium,0.058843257,0.941156743,0.034969307,0.082717207,0.917282793,0.965030693
60-65,2015,woman,Belgium,0.11162239,0.88837761,0.082390187,0.140854594,0.859145406,0.917609813
65-70,2015,woman,Belgium,0.1010808,0.8989192,0.075432719,0.126728881,0.873271119,0.924567281
70-75,2015,woman,Belgium,0.165967185,0.834032815,0.127826932,0.204107438,0.795892562,0.872173068
75-80,2015,woman,Belgium,0.252452384,0.747547616,0.202726804,0.302177964,0.697822036,0.797273196
80+,2015,woman,Belgium,0.454951126,0.545048874,0.412215848,0.497686404,0.502313596,0.587784152
50-55,2015,woman,Israel,0.04243801,0.95756199,-0.010399546,0.095275566,0.904724434,1.010399546
55-60,2015,woman,Israel,0.053362934,0.946637066,-0.009229568,0.115955436,0.884044564,1.009229568
60-65,2015,woman,Israel,0.0417251,0.9582749,0.013894621,0.06955558,0.93044442,0.986105379
65-70,2015,woman,Israel,0.05439954,0.94560046,0.023272803,0.085526277,0.914473723,0.976727197
70-75,2015,woman,Israel,0.186887544,0.813112456,0.115317971,0.258457117,0.741542883,0.884682029
75-80,2015,woman,Israel,0.14537302,0.85462698,0.085518429,0.20522761,0.79477239,0.914481571
80+,2015,woman,Israel,0.432533405,0.567466595,0.342319526,0.522747285,0.477252715,0.657680474
50-55,2015,woman,Czech Republic,0.031721747,0.968278253,-0.006981424,0.070424917,0.929575083,1.006981424
55-60,2015,woman,Czech Republic,0.049960168,0.950039832,0.025684832,0.074235505,0.925764495,0.974315168
60-65,2015,woman,Czech Republic,0.064475707,0.935524293,0.041738775,0.087212639,0.912787361,0.958261225
65-70,2015,woman,Czech Republic,0.103246935,0.896753065,0.072788318,0.133705551,0.866294449,0.927211682
70-75,2015,woman,Czech Republic,0.143795631,0.856204369,0.108140099,0.179451163,0.820548837,0.891859901
75-80,2015,woman,Czech Republic,0.188468374,0.811531626,0.137195001,0.239741746,0.760258254,0.862804999
80+,2015,woman,Czech Republic,0.374649402,0.625350598,0.30287031,0.446428493,0.553571507,0.69712969
50-55,2015,woman,Poland,0.07434325,0.92565675,0.016058864,0.132627635,0.867372365,0.983941136
55-60,2015,woman,Poland,0.079022166,0.920977834,0.03568752,0.122356812,0.877643188,0.96431248
60-65,2015,woman,Poland,0.084267263,0.915732737,0.071998519,0.096536008,0.903463992,0.928001481
65-70,2015,woman,Poland,0.118150915,0.881849085,0.099778765,0.136523064,0.863476936,0.900221235
70-75,2015,woman,Poland,0.18371189,0.81628811,0.160965174,0.206458607,0.793541393,0.839034826
75-80,2015,woman,Poland,0.278086742,0.721913258,0.205517333,0.350656152,0.649343848,0.794482667
80+,2015,woman,Poland,0.4219989,0.5780011,0.308601833,0.535395967,0.464604033,0.691398167
50-55,2015,woman,Luxembourg,0.022791815,0.977208185,-0.000469298,0.046052928,0.953947072,1.000469298
55-60,2015,woman,Luxembourg,0.05443109,0.94556891,0.030099894,0.078762286,0.921237714,0.969900106
60-65,2015,woman,Luxembourg,0.090183767,0.909816233,0.046822903,0.133544631,0.866455369,0.953177097
65-70,2015,woman,Luxembourg,0.092189421,0.907810579,0.04287168,0.141507161,0.858492839,0.95712832
70-75,2015,woman,Luxembourg,0.085270135,0.914729865,0.042554044,0.127986226,0.872013774,0.957445956
75-80,2015,woman,Luxembourg,0.115695715,0.884304285,0.025894912,0.205496519,0.794503481,0.974105088
80+,2015,woman,Luxembourg,0.37416198,0.62583802,0.291036837,0.457287123,0.542712877,0.708963163
50-55,2015,woman,Portugal,0.098225435,0.901774565,-0.020019931,0.216470802,0.783529198,1.020019931
55-60,2015,woman,Portugal,0.180549774,0.819450226,0.082291389,0.278808159,0.721191841,0.917708611
60-65,2015,woman,Portugal,0.185888041,0.814111959,0.094462584,0.277313498,0.722686502,0.905537416
65-70,2015,woman,Portugal,0.166705525,0.833294475,0.065679589,0.267731461,0.732268539,0.934320411
70-75,2015,woman,Portugal,0.164929742,0.835070258,0.08224801,0.247611475,0.752388525,0.91775199
75-80,2015,woman,Portugal,0.4521754,0.5478246,0.226523841,0.677826958,0.322173042,0.773476159
80+,2015,woman,Portugal,0.627846872,0.372153128,0.463301005,0.79239274,0.20760726,0.536698995
50-55,2015,woman,Slovenia,0.058174291,0.941825709,0.023033614,0.093314968,0.906685032,0.976966386
55-60,2015,woman,Slovenia,0.070123342,0.929876658,0.039934134,0.100312551,0.899687449,0.960065866
60-65,2015,woman,Slovenia,0.054276419,0.945723581,0.031427361,0.077125476,0.922874524,0.968572639
65-70,2015,woman,Slovenia,0.079015202,0.920984798,0.050278472,0.107751932,0.892248068,0.949721528
