"age","year","gender","healthy","unhealthy","CI_low_healthy","CI_up_healthy","CI_low_unhealthy","CI_up_unhealthy","type"
"65-70","2015","man",0.791784586236509,0.208215413763491,0.753446704674453,0.830122467798565,0.169877532201435,0.246553295325547,"lung"
"70-75","2015","man",0.7803107254976,0.2196892745024,0.746419601168559,0.814201849826642,0.185798150173358,0.253580398831441,"lung"
"75-80","2015","man",0.731579323526796,0.268420676473204,0.682236576952271,0.780922070101321,0.219077929898679,0.317763423047729,"lung"
"80+","2015","man",0.75414905593717,0.24585094406283,0.670152792848358,0.838145319025982,0.161854680974018,0.329847207151642,"lung"
"50-55","2015","woman",0.984241961737631,0.0157580382623692,0.978213694745285,0.990270228729977,0.00972977127002342,0.0217863052547151,"stroke"
"55-60","2015","woman",0.979006147323868,0.0209938526761321,0.970210871998208,0.987801422649527,0.0121985773504725,0.0297891280017916,"stroke"
"60-65","2015","woman",0.96122821790308,0.0387717820969197,0.948797646089717,0.973658789716443,0.0263412102835567,0.0512023539102828,"stroke"
"65-70","2015","woman",0.949688175212665,0.0503118247873345,0.935093860038324,0.964282490387007,0.0357175096129933,0.0649061399616757,"stroke"
"70-75","2015","woman",0.945511546560269,0.0544884534397306,0.925412565423123,0.965610527697416,0.0343894723025839,0.0745874345768773,"stroke"
"75-80","2015","woman",0.960946791594126,0.0390532084058736,0.941876343986113,0.98001723920214,0.0199827607978604,0.0581236560138867,"stroke"
"80+","2015","woman",0.941124884805952,0.0588751151940481,0.916697408857191,0.965552360754713,0.034447639245287,0.0833025911428091,"stroke"
"50-55","2015","man",0.962057975552859,0.0379420244471411,0.93701898654943,0.987096964556288,0.0129030354437118,0.0629810134505704,"stroke"
"55-60","2015","man",0.970054730632246,0.0299452693677543,0.959184829275191,0.980924631989301,0.0190753680106993,0.0408151707248092,"stroke"
"60-65","2015","man",0.957764425163906,0.0422355748360942,0.945402088992946,0.970126761334866,0.0298732386651344,0.054597911007054,"stroke"
"65-70","2015","man",0.942236139787289,0.0577638602127113,0.926774028262274,0.957698251312303,0.0423017486876966,0.0732259717377259,"stroke"
"70-75","2015","man",0.904794551976442,0.0952054480235578,0.86135616209116,0.948232941861725,0.0517670581382755,0.13864383790884,"stroke"
"75-80","2015","man",0.907149165378112,0.0928508346218876,0.87492815540786,0.939370175348365,0.0606298246516347,0.125071844592141,"stroke"
"80+","2015","man",0.837893637957325,0.162106362042675,0.732060654702526,0.943726621212123,0.0562733787878768,0.267939345297474,"stroke"
"50-55","2015","woman",0.512747351901852,0.487252648098148,0.478807507806183,0.546687195997522,0.453312804002478,0.521192492193817,"one or two any condition"
"55-60","2015","woman",0.411429312282108,0.588570687717892,0.373953642200959,0.448904982363257,0.551095017636743,0.626046357799041,"one or two any condition"
"60-65","2015","woman",0.390553369220665,0.609446630779335,0.362421406436093,0.418685332005238,0.581314667994762,0.637578593563907,"one or two any condition"
"65-70","2015","woman",0.384719136388862,0.615280863611138,0.352466142614065,0.416972130163658,0.583027869836342,0.647533857385935,"one or two any condition"
"70-75","2015","woman",0.383488250863501,0.616511749136499,0.331087024780794,0.435889476946208,0.564110523053792,0.668912975219206,"one or two any condition"
"75-80","2015","woman",0.414324596088799,0.585675403911201,0.354058822481987,0.474590369695612,0.525409630304388,0.645941177518013,"one or two any condition"
"80+","2015","woman",0.393443699342344,0.606556300657656,0.334980499893788,0.451906898790901,0.548093101209099,0.665019500106212,"one or two any condition"
"50-55","2015","man",0.556900262497474,0.443099737502526,0.521332321556832,0.592468203438117,0.407531796561883,0.478667678443168,"one or two any condition"
"55-60","2015","man",0.521821735217822,0.478178264782178,0.486532456860632,0.557111013575012,0.442888986424988,0.513467543139368,"one or two any condition"
"60-65","2015","man",0.451323441151596,0.548676558848404,0.41881654067962,0.483830341623571,0.516169658376429,0.58118345932038,"one or two any condition"
"65-70","2015","man",0.452885975689492,0.547114024310508,0.415230180162715,0.490541771216269,0.509458228783731,0.584769819837285,"one or two any condition"
"70-75","2015","man",0.401759600678648,0.598240399321352,0.356640185639202,0.446879015718093,0.553120984281907,0.643359814360798,"one or two any condition"
"75-80","2015","man",0.358180724033438,0.641819275966562,0.303892040028682,0.412469408038194,0.587530591961806,0.696107959971318,"one or two any condition"
"80+","2015","man",0.401888995556923,0.598111004443077,0.29360713890701,0.510170852206837,0.489829147793163,0.70639286109299,"one or two any condition"
