age,country,year,sex,unhealthy,healthy,CI_low_unhealthy,CI_up_unhealthy,CI_low_healthy,CI_up_healthy
75-80,Greece,2014,man,0.1026,0.8974,0.0627,0.1425,0.8575,0.9373
80-85,Greece,2014,man,0.1387,0.8613,0.0841,0.1933,0.8067,0.9159
85-90,Greece,2014,man,0.2501,0.7499,0.1577,0.3426,0.6574,0.8423
90+,Greece,2014,man,0.4305,0.5695,0.2359,0.6251,0.3749,0.7641
50-55,Switzerland,2014,man,0.0295,0.9705,-0.0251,0.0842,0.9158,1.0251
55-60,Switzerland,2014,man,0.0378,0.9622,0.0094,0.0662,0.9338,0.9906
60-65,Switzerland,2014,man,0.0307,0.9693,0.0075,0.0540,0.9460,0.9925
65-70,Switzerland,2014,man,0.0759,0.9241,0.0423,0.1095,0.8905,0.9577
70-75,Switzerland,2014,man,0.0433,0.9567,0.0133,0.0733,0.9267,0.9867
75-80,Switzerland,2014,man,0.0736,0.9264,0.0215,0.1258,0.8742,0.9785
80-85,Switzerland,2014,man,0.0985,0.9015,0.0449,0.1520,0.8480,0.9551
85-90,Switzerland,2014,man,0.2110,0.7890,0.1113,0.3107,0.6893,0.8887
90+,Switzerland,2014,man,0.4497,0.5503,0.1437,0.7558,0.2442,0.8563
50-55,Belgium,2014,man,0.0641,0.9359,0.0262,0.1020,0.8980,0.9738
55-60,Belgium,2014,man,0.0677,0.9323,0.0282,0.1072,0.8928,0.9718
60-65,Belgium,2014,man,0.1091,0.8909,0.0801,0.1381,0.8619,0.9199
65-70,Belgium,2014,man,0.1092,0.8908,0.0802,0.1381,0.8619,0.9198
70-75,Belgium,2014,man,0.1777,0.8223,0.1321,0.2234,0.7766,0.8679
75-80,Belgium,2014,man,0.1623,0.8377,0.1106,0.2140,0.7860,0.8894
80-85,Belgium,2014,man,0.2277,0.7723,0.1648,0.2906,0.7094,0.8352
85-90,Belgium,2014,man,0.2743,0.7257,0.1776,0.3710,0.6290,0.8224
90+,Belgium,2014,man,0.4531,0.5469,0.3182,0.5880,0.4120,0.6818
50-55,Israel,2014,man,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000
55-60,Israel,2014,man,0.0304,0.9696,-0.0031,0.0639,0.9361,1.0031
60-65,Israel,2014,man,0.0568,0.9432,0.0196,0.0941,0.9059,0.9804
65-70,Israel,2014,man,0.0694,0.9306,0.0352,0.1036,0.8964,0.9648
70-75,Israel,2014,man,0.0906,0.9094,0.0336,0.1475,0.8525,0.9664
75-80,Israel,2014,man,0.1614,0.8386,0.0880,0.2349,0.7651,0.9120
80-85,Israel,2014,man,0.2087,0.7913,0.1244,0.2930,0.7070,0.8756
85-90,Israel,2014,man,0.4678,0.5322,0.2744,0.6611,0.3389,0.7256
90+,Israel,2014,man,0.7239,0.2761,0.5304,0.9173,0.0827,0.4696
50-55,Czechia,2014,man,0.1110,0.8890,-0.0126,0.2346,0.7654,1.0126
55-60,Czechia,2014,man,0.0907,0.9093,0.0179,0.1636,0.8364,0.9821
60-65,Czechia,2014,man,0.1286,0.8714,0.0833,0.1739,0.8261,0.9167
65-70,Czechia,2014,man,0.0979,0.9021,0.0646,0.1313,0.8687,0.9354
70-75,Czechia,2014,man,0.1156,0.8844,0.0751,0.1560,0.8440,0.9249
75-80,Czechia,2014,man,0.1872,0.8128,0.1290,0.2454,0.7546,0.8710
80-85,Czechia,2014,man,0.1897,0.8103,0.1194,0.2599,0.7401,0.8806
