"Age","Country","Mortality","Chronic","Mortality.l","Mortality.u","Chronic.l","Chronic.u"
75,"Austria",0.137765304539945,-0.305784449022289,0.178940958670085,0.0965896505145407,-0.361619216843785,-0.249949684942512
80,"Austria",0.180735884322177,-0.361132733184203,0.242150377726754,0.119321391012348,-0.480704216363044,-0.241561237999675
60,"Germany",0.163817900699042,-0.160911096077253,0.196786117318895,0.130849684063373,-0.200293472326242,-0.12152871494202
65,"Germany",0.150815389613417,-0.290930104715898,0.186076339472206,0.115554439631778,-0.302372471277784,-0.279487733541286
70,"Germany",0.135481230825771,-0.00272830513015609,0.17262499582135,0.0983374656491156,0.0191651117009197,-0.0246217261921462
75,"Germany",0.103245805799308,-0.00194039286773151,0.136941004208057,0.0695506073134418,0.0191442767114882,-0.023025066137258
80,"Germany",0.135371057716539,-0.151346175339341,0.185408230461253,0.0853338849718304,-0.198067320491158,-0.104625030187564
60,"Sweden",0.0975693371465134,-0.415226604052185,0.111879514487789,0.0832591598649728,-0.451281575910434,-0.379171637112272
65,"Sweden",0.109134119711667,-0.190188441026219,0.12703313868075,0.0912351008150134,-0.219411943018871,-0.160964939033538
70,"Sweden",0.128098897468366,-0.0256380395468003,0.152175780524672,0.1040220145014,-0.0612125045089957,0.00993642979867726
75,"Sweden",0.12655629808496,-0.0727761427559237,0.153487171952689,0.099625424430938,-0.0642721714509289,-0.0812801140609221
80,"Sweden",0.26622872306023,-0.115135208098549,0.324817274798125,0.207640171925177,-0.168450871555178,-0.0618195382425508
60,"Spain",0.137184010075256,-0.654503491203981,0.170301572899686,0.104066447471302,-0.712262225480527,-0.596744761841783
65,"Spain",0.132098308568387,-0.346951185776775,0.168956258448386,0.0952403591343565,-0.372053249398989,-0.321849117448496
70,"Spain",0.111601195417999,-0.43200521477452,0.147198777371317,0.0760036140367517,-0.45368468303097,-0.410325746518053
75,"Spain",0.0872760446297089,-0.266063971709094,0.11828325478216,0.0562688351382752,-0.305758705777247,-0.22636923764094
80,"Spain",0.118720748286905,-0.383214321666264,0.161085792110476,0.0763557057532411,-0.504026193345426,-0.262402449987127
60,"Italy",0.130716758012245,-0.35498774487392,0.152503053968841,0.108930462015128,-0.367169688086427,-0.342805811498494
65,"Italy",0.137757933847859,-0.681673823664916,0.165126532831497,0.110389334760384,-0.703031851031781,-0.660315801011989
